name,code,num_speakers,family,branch,url,description,note,name_native,is_natural,is_active
Mandarin Chinese,zh,939.0,Sino-Tibetan,Sinitic,https://en.wikipedia.org/wiki/Mandarin_Chinese,,,中文 汉语,1.0,0.0
Spanish,es,485.0,Indo-European,Romance,https://en.wikipedia.org/wiki/ISO_639:spa,,,español,1.0,0.0
English,en,380.0,Indo-European,Germanic,https://en.wikipedia.org/wiki/ISO_639:eng,,,English,1.0,0.0
Russian,ru,147.0,Indo-European,Balto-Slavic,https://en.wikipedia.org/wiki/ISO_639:rus,,,русский язык,1.0,0.0
French,fr,80.8,Indo-European,Romance,https://en.wikipedia.org/wiki/ISO_639:fra,,,français,1.0,0.0
Arabic,ar,,,,https://en.wikipedia.org/wiki/Arabic,,,العربية,1.0,0.0
Python,python,2.0,System,scripting,https://www.python.org/,,,,0.0,0.0
Java,java,,System,compiled,https://en.wikipedia.org/wiki/Java_(programming_language),,,,,
PhP,php,,,,,,,,1.0,0.0
SQL,sql,10.0,System,,,,,,1.0,0.0
